title,movie_id
Armageddon(1998),tt0120591
Cinderella(2015),tt1661199
Ralph Breaks the Internet(2018),tt5848272
Tangled(2010),tt0398286
Godzilla(2014),tt0831387
Superman Returns(2006),tt0348150
Spectre(2015),tt2379713
Pearl Harbor(2001),tt0213149
Monsters vs. Aliens(2009),tt0892782
Happy Feet(2006),tt0366548
Ice Age: Dawn of the Dinosaurs(2009),tt1080016
Ice Age: The Meltdown(2006),tt0438097
Mission: Impossible - Rogue Nation(2015),tt2381249
Twilight(2008),tt1099212
Men in Black II(2002),tt0120912
22 Jump Street(2014),tt2294449
Cars 2(2011),tt1216475
Teenage Mutant Ninja Turtles(2014),tt1291150
Spider-Man: Into the Spider-Verse(2018),tt4633694
Dunkirk(2017),tt5013056
The Polar Express(2004),tt0338348
Wreck-It Ralph(2012),tt1772341
A Quiet Place(2018),tt6644200
Gladiator(2000),tt0172495
The Croods(2013),tt0481499
The Day After Tomorrow(2004),tt0319262
Mr. & Mrs. Smith(2005),tt0356910
Pitch Perfect 2(2015),tt2848292
Batman Forever(1995),tt0112462
The Revenant(2015),tt1663202
Ocean's Eleven(2001),tt0240772
The Simpsons Movie(2007),tt0462538
What Women Want(2000),tt0207201
The Perfect Storm(2000),tt0177971
Lincoln(2012),tt0443272
Jurassic Park III(2001),tt0163025
Thor(2011),tt0800369
Mission: Impossible(1996),tt0117060
Ant-Man(2015),tt0478970
Planet of the Apes(2001),tt0133152
Madagascar: Escape 2 Africa(2008),tt0479952
X-Men Origins: Wolverine(2009),tt0458525
Hitch(2005),tt0386588
Men in Black³(2012),tt1409024
Elf(2003),tt0319343
Home(2015),tt2224026
Night at the Museum: Battle of the Smithsonian(2009),tt1078912
How to Train Your Dragon 2(2014),tt1646971
Rise of the Planet of the Apes(2011),tt1318514
Captain America: The First Avenger(2011),tt0458339
The Karate Kid(2010),tt1155076
There's Something About Mary(1998),tt0129387
Ice Age(2002),tt0268380
The Bourne Supremacy(2004),tt0372183
Get Out(2017),tt5052448
The Lego Batman Movie(2017),tt4116284
Us(2019),tt6857112
Crazy Rich Asians(2018),tt3104988
The Greatest Showman(2017),tt1485796
Fast & Furious Presents: Hobbs & Shaw(2019),tt6806448
National Treasure(2004),tt0368891
Air Force One(1997),tt0118571
Mission: Impossible - Dead Reckoning Part One(2023),tt9603212
Pirates of the Caribbean: Dead Men Tell No Tales(2017),tt1790809
The Matrix(1999),tt0133093
TRON: Legacy(2010),tt1104001
Mary Poppins Returns(2018),tt5028340
True Grit(2010),tt1403865
Tarzan(1999),tt0120855
John Wick: Chapter 3 - Parabellum(2019),tt6146586
A Beautiful Mind(2001),tt0268978
Chicago(2002),tt0299658
The Help(2011),tt1454029
Hotel Transylvania 2(2015),tt2510894
Hidden Figures(2016),tt4846340
Bridesmaids(2011),tt1478338
Quantum of Solace(2008),tt0830515
Kong: Skull Island(2017),tt3731562
Gone Girl(2014),tt2267998
Hotel Transylvania 3: Summer Vacation(2018),tt5220122
Casino Royale(2006),tt0381061
Meet the Parents(2000),tt0212338
Fifty Shades of Grey(2015),tt2322441
2012(2009),tt1190080
Knives Out(2019),tt8946378
Kung Fu Panda 2(2011),tt1302011
Hannibal(2001),tt0212985
Catch Me If You Can(2002),tt0264464
The Proposal(2009),tt1041829
The Pursuit of Happyness(2006),tt0454921
Big Daddy(1999),tt0142342
Clash of the Titans(2010),tt0800320
The SpongeBob Movie: Sponge Out of Water(2015),tt2279373
Django Unchained(2012),tt1853728
A Bug's Life(1998),tt0120623
